USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
teamlead           854   7.0 12.8 39655804 2140540   ??  R     9:28PM   3:49.05 /Applications/PyCharm.app/Contents/MacOS/pycharm
teamlead          1119   0.0  0.1 33761900  11400   ??  S     9:33PM   0:00.34 /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/Versions/A/intelligenceplatformd
root              1118   0.0  0.0 34205928   3568   ??  Ss    9:33PM   0:00.03 /usr/libexec/memoryanalyticsd -xlatS
teamlead          1112   0.0  0.1 33763100  11384   ??  S     9:32PM   0:00.21 /usr/libexec/appleaccountd
root              1111   0.0  0.0 33720204   3632   ??  Ss    9:32PM   0:00.02 /usr/libexec/tzd
teamlead          1101   0.0  0.1 33768140  16688   ??  S     9:32PM   0:01.89 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
root              1100   0.0  0.0 33754388   6484   ??  Ss    9:32PM   0:00.11 /usr/libexec/dprivacyd
teamlead          1099   0.0  0.1 34222436  22992   ??  S     9:32PM   0:00.15 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
teamlead          1098   0.0  0.0 33731596   5256   ??  Ss    9:32PM   0:00.04 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
teamlead          1096   0.0  0.3 33910464  49956   ??  Ss    9:32PM   0:00.93 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension
teamlead          1093   0.0  0.1 33760016   9696   ??  S     9:32PM   0:00.35 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
teamlead          1081   0.0  0.1 33762820  14912   ??  S     9:31PM   0:00.34 /usr/libexec/tipsd
teamlead          1080   0.0  0.0 33758972   5856   ??  S     9:31PM   0:00.13 /usr/libexec/proactiveeventtrackerd
teamlead          1076   0.0  0.5 67601036  80916   ??  S     9:31PM   0:00.57 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper.app/Contents/MacOS/Yandex Helper --type=utility --utility-sub-type=autofill.mojom.TflPredictionsService --lang=ru --service-sandbox-type=utility --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --process-name=Autofill Tfl Predictions --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=239
teamlead          1070   0.0  0.1 33932260  18624   ??  S     9:30PM   0:00.16 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
teamlead          1069   0.0  0.1 33773952  20200   ??  S     9:30PM   0:00.80 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
teamlead          1040   0.0  0.4 1219901748  64700   ??  S     9:30PM   0:00.30 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper (Renderer).app/Contents/MacOS/Yandex Helper (Renderer) --type=renderer --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --help-url=https://api.browser.yandex.ru/redirect/help/ --user-agent-info --web-ntp-url-for-renderer=https://brontp-pre.yandex.ru/ --translate-security-origin=https://browser.translate.yandex.net/ --enable-instaserp --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=30 --time-ticks-at-unix-epoch=-1710692853461583 --launch-time-ticks=160517089 --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=222
teamlead          1035   0.0  0.3 34476112  44932   ??  Ss    9:30PM   0:02.78 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
root              1033   0.0  0.0 33719832   3956   ??  Ss    9:29PM   0:00.06 /usr/libexec/mobileactivationd
_rmd              1032   0.0  0.0 34193556   6568   ??  Ss    9:29PM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
_rmd              1031   0.0  0.1 34161972   8688   ??  Ss    9:29PM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/AccountSubscriber.xpc/Contents/MacOS/AccountSubscriber
_rmd              1030   0.0  0.0 34152580   5940   ??  Ss    9:29PM   0:00.07 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
_rmd              1029   0.0  0.0 34161796   6060   ??  Ss    9:29PM   0:00.07 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber
_rmd              1028   0.0  0.0 34161796   6100   ??  Ss    9:29PM   0:00.05 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber
_rmd              1027   0.0  0.0 33663240   1576   ??  S     9:29PM   0:00.05 /usr/sbin/distnoted agent
teamlead          1025   0.0  0.0 33730368   6576   ??  S     9:29PM   0:00.18 /usr/libexec/biomesyncd
_rmd              1024   0.0  0.0 33760816   6776   ??  Ss    9:29PM   0:00.17 /System/Library/PrivateFrameworks/RemoteManagement.framework/remotemanagementd
root              1023   0.0  0.0 33695552   1616   ??  Ss    9:29PM   0:00.01 /usr/libexec/online-authd
_spotlight        1018   0.0  0.0 33693944   2228   ??  S     9:29PM   0:00.04 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
teamlead           999   0.0  0.2 67634060  29460   ??  S     9:29PM   0:00.17 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper.app/Contents/MacOS/Yandex Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=ru --service-sandbox-type=audio --message-loop-type-ui --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --process-name=Audio Service --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=215
teamlead           993   0.0  0.2 33786236  33008   ??  S     9:29PM   0:00.82 /System/Library/Frameworks/StoreKit.framework/Support/storekitagent
teamlead           992   0.0  0.0 33722668   5176   ??  S     9:29PM   0:00.04 /usr/libexec/naturallanguaged
teamlead           989   0.0  0.1 34059280  19060   ??  S     9:29PM   0:00.79 /System/Library/Frameworks/CoreSpotlight.framework/CoreSpotlightService
teamlead           988   0.0  0.0 33704020   5796   ??  Ss    9:29PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
teamlead           983   0.0  1.8 1220025492 296320   ??  S     9:29PM   0:16.65 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper (Renderer).app/Contents/MacOS/Yandex Helper (Renderer) --type=renderer --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --help-url=https://api.browser.yandex.ru/redirect/help/ --user-agent-info --web-ntp-url-for-renderer=https://brontp-pre.yandex.ru/ --translate-security-origin=https://browser.translate.yandex.net/ --enable-instaserp --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=22 --time-ticks-at-unix-epoch=-1710692853461583 --launch-time-ticks=108697698 --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=209
teamlead           982   0.0  0.1 33762572   9144   ??  S     9:29PM   0:00.08 /usr/libexec/keyboardservicesd
teamlead           981   0.0  0.5 34302016  82044   ??  S     9:29PM   0:05.97 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
teamlead           977   0.0  0.1 34226948  17180   ??  Ss    9:29PM   0:00.10 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
teamlead           975   0.0  0.4 1219908712  67712   ??  S     9:29PM   0:00.22 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper (Renderer).app/Contents/MacOS/Yandex Helper (Renderer) --type=renderer --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --help-url=https://api.browser.yandex.ru/redirect/help/ --user-agent-info --web-ntp-url-for-renderer=https://brontp-pre.yandex.ru/ --translate-security-origin=https://browser.translate.yandex.net/ --enable-instaserp --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=17 --time-ticks-at-unix-epoch=-1710692853461583 --launch-time-ticks=102759853 --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=173
teamlead           969   0.0  1.1 1219919600 191228   ??  S     9:29PM   0:08.50 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper (Renderer).app/Contents/MacOS/Yandex Helper (Renderer) --type=renderer --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --extension-process --help-url=https://api.browser.yandex.ru/redirect/help/ --user-agent-info --web-ntp-url-for-renderer=https://brontp-pre.yandex.ru/ --translate-security-origin=https://browser.translate.yandex.net/ --enable-instaserp --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1710692853461583 --launch-time-ticks=99593650 --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=111
teamlead           968   0.0  0.7 1219911680 111144   ??  S     9:29PM   0:01.20 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper (Renderer).app/Contents/MacOS/Yandex Helper (Renderer) --type=renderer --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --help-url=https://api.browser.yandex.ru/redirect/help/ --user-agent-info --web-ntp-url-for-renderer=https://brontp-pre.yandex.ru/ --translate-security-origin=https://browser.translate.yandex.net/ --ya-custo-process --enable-instaserp --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=12 --time-ticks-at-unix-epoch=-1710692853461583 --launch-time-ticks=99536526 --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=107
teamlead           967   0.0  0.4 1219917804  65848   ??  S     9:29PM   0:00.39 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper (Renderer).app/Contents/MacOS/Yandex Helper (Renderer) --type=renderer --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --help-url=https://api.browser.yandex.ru/redirect/help/ --user-agent-info --web-ntp-url-for-renderer=https://brontp-pre.yandex.ru/ --translate-security-origin=https://browser.translate.yandex.net/ --ya-custo-process --enable-instaserp --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=11 --time-ticks-at-unix-epoch=-1710692853461583 --launch-time-ticks=99535840 --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=107
teamlead           966   0.0  0.3 1219901720  57396   ??  S     9:29PM   0:00.61 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper (Renderer).app/Contents/MacOS/Yandex Helper (Renderer) --type=renderer --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --extension-process --help-url=https://api.browser.yandex.ru/redirect/help/ --user-agent-info --web-ntp-url-for-renderer=https://brontp-pre.yandex.ru/ --translate-security-origin=https://browser.translate.yandex.net/ --enable-instaserp --first-renderer-process --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1710692853461583 --launch-time-ticks=99488675 --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=107
teamlead           964   0.0  0.1 33734016  12880   ??  S     9:29PM   0:00.10 /System/Cryptexes/App/usr/libexec/SafariLaunchAgent
root               961   0.0  0.0 33728324   1872   ??  Ss    9:29PM   0:00.03 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
teamlead           959   0.0  0.2 67648280  36464   ??  S     9:29PM   0:00.32 /Applications/Yandex.app/Contents/Frameworks/Yandex Framework.framework/Versions/24.1.0.2647/Helpers/Yandex Helper.app/Contents/MacOS/Yandex Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=ru --service-sandbox-type=service --user-id=4F404ECE-12E0-4F44-B3EE-43957D5BD90C --brand-id=yandex --metrics-client-id=c9ee882e-e404-4bc5-aeae-8d6bc0771717 --process-name=Storage Service --shared-files --field-trial-handle=1718379636,r,18285677730335516248,12017288511249479232,262144 --variations-seed-version --seatbelt-client=40
